Reference,Qty,Value,Comment
C1,1,1u,GCM155C71A105KE38D
C2,1,470n,CGA5L2X7R1H474K160AA
C3,1,10u,GRM21BR61H106KE43L
J1,1,Conn_01x03,22289031
J2,1,Conn_01x02,22288021
"J3,J4",2,Conn_01x01_Socket,0666-0-15-15-32-27-10-0
Q7,1,BSS84DW-7-F,BSS84DW-7-F
Q8,1,2N7002DW,2N7002DW
R1,1,10k,RMCF0402FT10K0
"R2,R3",2,11k5,RMCF0402FT11K5
R4,1,100k,RMCF0402FT100K
R5,1,2k2,RMCF0402FT2K20
RV1,1,RDC503052A,RDC503052A
U1,1,TLV9151IDBVR,TLV9151IDBVR
